Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ahsan;250001;IND;1945;1990;1990;1990;3;3;256;1;0;5;0;L505000;1945;1960;1999;x
Bahadur Kohoon of Jaisalmer;250006;IND;1930;1930;1990;1990;2;2;3;1;0;5;0;L505006;1930;1939;1999;x
Bahadur Aly of Patiala;250007;IND;1930;1990;1990;1990;3;2;3;1;0;5;0;L505007;1930;1944;1999;x
Bhutbapool;250015;IND;1930;1990;1990;1990;3;2;3;1;0;5;0;L505015;1930;1942;1999;x
K. M. Cariappa;250021;IND;1933;1933;1939;1944;0;8;3;4;0;5;0;L505021;1933;1960;1999;x
Dhawara;250031;IND;1930;1990;1990;1990;3;3;32;1;0;5;0;L505032;1930;1942;1999;x
Madhani;250052;IND;1930;1990;1990;1990;3;2;3;1;0;5;0;L505054;1930;1943;1999;x
Mukerjee;250060;IND;1945;1990;1990;1990;3;3;256;1;0;5;0;L505062;1945;1960;1999;x
Muhammad Musa;250061;IND;1938;1942;1947;1953;2;6;3;3;0;5;0;L505063;1938;1960;1999;x
Nabob Kureishi of Bhawalapur;250062;IND;1941;1943;1990;1990;2;2;0;1;0;4;0;L505064;1941;1960;1999;x
Sikhand;250066;IND;1942;1990;1990;1990;3;4;256;1;0;5;0;L505071;1942;1960;1999;x
Somerset;250069;IND;1939;1990;1990;1990;3;3;3;1;0;5;0;L1284;1939;1940;1999;x
S. M. Shrinagesh;250070;IND;1933;1933;1941;1947;1;7;3;4;0;5;0;L505075;1933;1960;1999;x
K. S. Thimayya;250074;IND;1933;1933;1940;1946;1;8;276;4;0;5;0;L505079;1933;1960;1999;x
A. K. Chatterji;250084;IND;1935;1939;1944;1950;1;7;4096;3;0;5;1;L505090;1935;1960;1999;x
Choudri;250085;IND;1937;1941;1946;1990;2;4;0;2;0;5;1;L505091;1937;1960;1999;x
Ram Dass Katari;250089;IND;1933;1937;1942;1948;1;7;4096;3;0;5;1;INDM_KATARI;1933;1960;1999;x
Harinder Singh;250093;IND;1937;1941;1946;1990;2;4;0;2;0;5;1;L505099;1937;1960;1999;x
S. M. Nanda;250100;IND;1938;1942;1947;1953;2;6;4096;3;0;5;1;L505106;1938;1960;1999;x
S. M. Ahsan;250113;IND;1936;1940;1945;1951;2;6;1024;3;0;5;1;L505000;1936;1960;1999;x
Alam;250114;IND;1937;1941;1946;1990;2;5;4096;1;0;5;2;L505123;1937;1960;1999;x
Ali Mir;250115;IND;1935;1939;1944;1990;2;4;0;1;0;5;2;L505124;1935;1960;1999;x
