IND;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
250001;Indian Government Railways;TT250001;6;1930;1970;mechanics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250002;Tata Iron and Steel Company;TT250002;7;1930;1970;industrial_engineering;technical_efficiency;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250003;Indian Association for Cultivation of Science;TT250003;7;1930;1970;mathematics;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250004;Military Engineering Services;TT250004;6;1930;1970;management;general_equipment;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250005;Indian Ordnance Factories;TT250005;6;1930;1970;mechanics;munitions;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250006;Garden Reach Workshop;TT250006;5;1930;1970;naval_engineering;general_equipment;technical_efficiency;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250007;Mazagon Dock Limited;TT250007;5;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250008;J. R. D. Tata;TT250008;6;1930;1970;aeronautics;industrial_engineering;technical_efficiency;management;aircraft_testing;fighter_design;bomber_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;x
250009;Indian Academy of Sciences;TT250009;7;1930;1970;mathematics;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250010;K. M. Cariappa;TT250010;6;1930;1970;centralized_execution;large_unit_tactics;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
